ind;totaldays
C2;71
C14;58
C17;88
C18;73
C24;75
C50;63
C54;94
C55;99
C56;195
C57;75
C61;106
C65;63
C75;68
C83;81
C86;66
C106;72
C107;71
C111;79
C119;68
C121;55
C126;60
C131;54
C140;72
C141;67
C150;92
C153;74
C162;80
C165;74
C168;169
C172;59
C174;66
C176;86
C185;108
C193;94
C197;68
C285;63
C316;65
O6;80
O8;56
O23;81
O42;73
O45;66
O54;73
O67;79
O72;77
O105;65
O112;91
O123;88
O136;88
O137;60
O148;72
O231;74
O241;68
O268;68
O304;193
O314;78
O334;81
O352;65
O384;76
O463;77
O488;80
O514;70
O553;75
O580;176
O582;65
O621;66
O626;64
O642;82
O682;77
O685;78
O766;68
O839;83
M29;84
M36;90
M58;81
M65;87
M87;78
M136;93
M139;94
M144;85
M176;81
M207;68
M208;95
M215;87
M219;84
M304;179
M315;85
M381;63
M457;76
M460;81
M518;66
M520;90
M531;72
M541;78
M581;85
M648;60
M664;95
M694;84
M702;83
M749;63
M820;87
M826;83
M843;75
M847;67
M849;72
M956;187
M986;102
