# Dataset cone crops, location, measurements Juniperus phoenicea. RBD. 2018.;;;
#area : code for study area.;;;
#;#SABCOL : Colonizacion, Sabinar del Charco del Toro.;;
#;#SABMAR: Sabinar del Marques;;
#;# SABOJILL: Sabinar del Ojillo.;;
# tree: plant code.;;;
# x : x coordinate;;;
# y : y coordinate;;;
# crop_size : total mature fruit production by tree.;;;
# d1: diameter of canopy horizontal projection, 1.;;;
# d2: diameter of canopy horizontal projection, 2.;;;
# h: tree height.;;;
# notes: Notes and observations.;;;
;;;
area;tree;x;y
SABCOL;C2;37.0008;-6.50589
SABCOL;C14;37.0007;-6.50639
SABCOL;C17;37.0008;-6.50654
SABCOL;C18;37.0008;-6.50653
SABCOL;C24;37.0008;-6.50671
SABCOL;C50;37.0006;-6.50625
SABCOL;C54;37.0007;-6.50617
SABCOL;C55;37.0007;-6.50613
SABCOL;C56;37.0006;-6.50608
SABCOL;C57;37.0007;-6.50596
SABCOL;C65;37.0004;-6.50578
SABCOL;C75;37.0004;-6.506
SABCOL;C83;37;-6.50584
SABCOL;C86;37.0001;-6.50599
SABCOL;C106;37.0002;-6.50619
SABCOL;C107;37.0002;-6.50625
SABCOL;C111;37.0001;-6.50641
SABCOL;C119;37.0002;-6.5065
SABCOL;C121;37.0001;-6.50653
SABCOL;C126;37.0001;-6.50659
SABCOL;C131;37.0001;-6.50667
SABCOL;C140;37.0002;-6.50657
SABCOL;C141;37.0002;-6.5066
SABCOL;C150;37.0003;-6.50663
SABCOL;C153;37.0003;-6.50662
SABCOL;C162;37.0003;-6.50617
SABCOL;C165;37.0005;-6.50621
SABCOL;C168;37.0005;-6.5064
SABCOL;C172;37.0005;-6.50651
SABCOL;C174;37.0006;-6.50653
SABCOL;C176;37.0005;-6.50661
SABCOL;C193;37.0005;-6.50671
SABCOL;C197;37.0006;-6.50662
SABCOL;C285;37.000259;-6.506738
SABCOL;C316;37.000214;-6.50608
SABMAR;M29;37.0117;-6.53268
SABMAR;M36;37.0117;-6.53259
SABMAR;M58;37.0118;-6.53248
SABMAR;M65;37.0117;-6.5325
SABMAR;M87;37.0118;-6.53294
SABMAR;M136;37.0121;-6.53319
SABMAR;M139;37.0121;-6.53326
SABMAR;M144;37.0121;-6.5333
SABMAR;M176;37.0119;-6.53274
SABMAR;M207;37.0119;-6.5324
SABMAR;M208;37.0118;-6.53236
SABMAR;M215;37.0119;-6.53232
SABMAR;M219;37.0119;-6.5324
SABMAR;M304;37.0123;-6.53319
SABMAR;M315;37.0122;-6.53305
SABMAR;M381;37.012;-6.53234
SABMAR;M457;37.0124;-6.53299
SABMAR;M460;37.0123;-6.53303
SABMAR;M518;37.0124;-6.53277
SABMAR;M520;37.0124;-6.53269
SABMAR;M531;37.0123;-6.5327
SABMAR;M541;37.0124;-6.53262
SABMAR;M581;37.0122;-6.53248
SABMAR;M648;37.0122;-6.53216
SABMAR;M664;37.0123;-6.53205
SABMAR;M694;37.0122;-6.53231
SABMAR;M702;37.0124;-6.53234
SABMAR;M749;37.0124;-6.53262
SABMAR;M820;37.0126;-6.53283
SABMAR;M826;37.0126;-6.53289
SABMAR;M843;37.0127;-6.53291
SABMAR;M847;37.0127;-6.53294
SABMAR;M849;37.0127;-6.53291
SABMAR;M956;37.0123;-6.53214
SABMAR;M986;37.0126;-6.53256
SABOJILL;O6;36.9953;-6.51395
SABOJILL;O8;36.9953;-6.51393
SABOJILL;O23;36.9952;-6.51377
SABOJILL;O42;36.9952;-6.51348
SABOJILL;O45;36.9952;-6.51337
SABOJILL;O54;36.9951;-6.51324
SABOJILL;O67;36.9951;-6.51315
SABOJILL;O72;36.995;-6.51316
SABOJILL;O105;36.9951;-6.51297
SABOJILL;O112;36.9952;-6.51309
SABOJILL;O123;36.9952;-6.51326
SABOJILL;O136;36.9953;-6.51347
SABOJILL;O137;36.9953;-6.51346
SABOJILL;O148;36.9952;-6.51372
SABOJILL;O231;36.9953;-6.51387
SABOJILL;O241;36.9954;-6.5137
SABOJILL;O268;36.9953;-6.51349
SABOJILL;O304;36.9953;-6.51295
SABOJILL;O314;36.9952;-6.51295
SABOJILL;O334;36.9954;-6.51306
SABOJILL;O384;36.9955;-6.51361
SABOJILL;O352;36.9956;-6.51323
SABOJILL;O463;36.9956;-6.5135
SABOJILL;O488;36.9954;-6.51294
SABOJILL;O514;36.9955;-6.51307
SABOJILL;O553;36.9957;-6.51353
SABOJILL;O580;36.9957;-6.51319
SABOJILL;O582;36.9956;-6.51311
SABOJILL;O621;36.9957;-6.51304
SABOJILL;O626;36.9957;-6.51311
SABOJILL;O642;36.9957;-6.51325
SABOJILL;O682;36.9958;-6.51349
SABOJILL;O685;36.9958;-6.51338
SABOJILL;O766;36.9959;-6.51339
SABOJILL;O839;36.9958;-6.51304
